id,adult,overview,popularity,release_date,title,vote_average,vote_count,character,actor_name,crew_id,name_genres,keyword_name,tags
3,FALSE,"An episode in the life of Nikander, a garbage man, involving the death of a co-worker, an affair and much more.",2.29211,10/16/1986,Shadows in Paradise,7.1,35,Nikander,Matti PellonpÃ¤Ã¤,16767,"Comedy, Drama","garbage, helsinki, independent film, salesclerk","Comedy, Drama, garbage, helsinki, independent film, salesclerk"
5,FALSE,It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,9.026586,12/9/1995,Four Rooms,6.5,539,Ted the Bellhop,Tim Roth,3110,"Comedy, Crime","bet, episode film, hoodlum, hotel, hotel room, los angeles, new year's eve, sperm, witch, woman director","Comedy, Crime, bet, episode film, hoodlum, hotel, hotel room, los angeles, new year's eve, sperm, witch, woman director"
6,FALSE,"While racing to a boxing match, Frank, Mike, John and Rey get more than they bargained for. A wrong turn lands them directly in the path of Fallon, a vicious, wise-cracking drug lord. After accidentally witnessing Fallon murder a disloyal henchman, the four become his unwilling prey in a savage game of cat &amp; mouse as they are mercilessly stalked through the urban jungle in this taut suspense drama",5.538671,10/15/1993,Judgment Night,6.4,79,Frank Wyatt,Emilio Estevez,2042,"Action, Crime, Thriller","boxing match, chicago, drug dealer, escape, one night","Action, Crime, Thriller, boxing match, chicago, drug dealer, escape, one night"
11,FALSE,Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.,42.149697,5/25/1977,Star Wars,8.1,6778,Luke Skywalker,Mark Hamill,1,"Action, Adventure, Science Fiction","android, death star, empire, galactic war, galaxy, hermit, jedi, lightsaber, planet, rebellion, rescue mission, smuggler, space opera, stormtrooper, the force, totalitarianism","Action, Adventure, Science Fiction, android, death star, empire, galactic war, galaxy, hermit, jedi, lightsaber, planet, rebellion, rescue mission, smuggler, space opera, stormtrooper, the force, totalitarianism"
12,FALSE,"Nemo, an adventurous young clownfish, is unexpectedly taken from his Great Barrier Reef home to a dentist's office aquarium. It's up to his worrisome father Marlin and a friendly but forgetful fish Dory to bring Nemo home -- meeting vegetarian sharks, surfer dude turtles, hypnotic jellyfish, hungry seagulls, and more along the way.",25.497794,5/30/2003,Finding Nemo,7.6,6292,Marlin,Albert Brooks,7,"Animation, Family","aftercreditsstinger, clownfish, duringcreditsstinger, father son relationship, father son reunion, fish tank, great barrier reef, harbor, missing child, protective father, short term memory loss, underwater","Animation, Family, aftercreditsstinger, clownfish, duringcreditsstinger, father son relationship, father son reunion, fish tank, great barrier reef, harbor, missing child, protective father, short term memory loss, underwater"
13,FALSE,"A man with a low IQ has accomplished great things in his life and been present during significant historic events - in each case, far exceeding what anyone imagined he could do. Yet, despite all the things he has attained, his one true love eludes him. 'Forrest Gump' is the story of a man who rose above his challenges, and who proved that determination, courage, and love are more important than ability.",48.307194,7/6/1994,Forrest Gump,8.2,8147,Forrest Gump,Tom Hanks,24,"Comedy, Drama, Romance","amputee, based on novel, bully, family relationships, flashback, friendship, hippie, hugging, love, mentally disabled, military, mother son relationship, park bench, running, shrimping, vietnam, vietnam veteran, vietnam war, wounded soldier","Comedy, Drama, Romance, amputee, based on novel, bully, family relationships, flashback, friendship, hippie, hugging, love, mentally disabled, military, mother son relationship, park bench, running, shrimping, vietnam, vietnam veteran, vietnam war, wounded soldier"
14,FALSE,"Lester Burnham, a depressed suburban father in a mid-life crisis, decides to turn his hectic life around after developing an infatuation with his daughter's attractive friend.",20.726578,9/15/1999,American Beauty,7.9,3438,Lester Burnham,Kevin Spacey,39,Drama,"adultery, affair, bittersweet, camcorder, coming of age, coming out, dark comedy, estate agent, exercise, female nudity, film maker, first time, loneliness, male nudity, marijuana, midlife crisis, nudity, parent child relationship, satire, suburbia, virgin","Drama, adultery, affair, bittersweet, camcorder, coming of age, coming out, dark comedy, estate agent, exercise, female nudity, film maker, first time, loneliness, male nudity, marijuana, midlife crisis, nudity, parent child relationship, satire, suburbia, virgin"
15,FALSE,"Newspaper magnate, Charles Foster Kane is taken from his mother as a boy and made the ward of a rich industrialist. As a result, every well-meaning, tyrannical or self-destructive move he makes for the rest of his life appears in some way to be a reaction to that deeply wounding event.",15.811921,4/30/1941,Citizen Kane,8,1244,Charles Foster Kane,Orson Welles,40,"Drama, Mystery","art collector, banker, capitalist, child, florida, journalist, media tycoon, money, newspaper, sleigh","Drama, Mystery, art collector, banker, capitalist, child, florida, journalist, media tycoon, money, newspaper, sleigh"
16,FALSE,"Selma, a Czech immigrant on the verge of blindness, struggles to make ends meet for herself and her son, who has inherited the same genetic disorder and will suffer the same fate without an expensive operation. When life gets too difficult, Selma learns to cope through her love of musicals, escaping life's troubles - even if just for a moment - by dreaming up little numbers to the rhythmic beats of her surroundings.",10.684806,5/17/2000,Dancer in the Dark,7.7,392,Selma Jezkova,BjÃ¶rk,42,"Crime, Drama, Music","blindness and impaired vision, crime, czech, dance, dancing, death penalty, debt, dying and death, execution, eye operation, eyesight, factory, factory worker, fantasy, friendship, hereditary disease, immigrant, individual, loss of eyesight, murder, naivety, police officer, robbery, secret, self-abandonment, small town, teacher, usa, van","Crime, Drama, Music, blindness and impaired vision, crime, czech, dance, dancing, death penalty, debt, dying and death, execution, eye operation, eyesight, factory, factory worker, fantasy, friendship, hereditary disease, immigrant, individual, loss of eyesight, murder, naivety, police officer, robbery, secret, self-abandonment, small town, teacher, usa, van"
17,FALSE,AdÃ¨le and her daughter Sarah are traveling on the Welsh coastline to see her husband James when Sarah disappears. A different but similar looking girl appears who says she died in a past time. AdÃ¨le tries to discover what happened to her daughter as she is tormented by Celtic mythology from the past.,5.691508,1/26/2006,The Dark,5.6,76,James,Sean Bean,43,"Horror, Mystery, Thriller","adolescence, child abuse, loss of child, mother daughter relationship, paradise, sea, secret, sect, sheep, shepherd, single, suicide, underworld, wales","Horror, Mystery, Thriller, adolescence, child abuse, loss of child, mother daughter relationship, paradise, sea, secret, sect, sheep, shepherd, single, suicide, underworld, wales"
18,FALSE,"In 2257, a taxi driver is unintentionally given the task of saving a young girl who is part of the key that will ensure the survival of humanity.",24.30526,5/7/1997,The Fifth Element,7.3,3962,Korben Dallas,Bruce Willis,59,"Action, Adventure, Fantasy, Science Fiction, Thriller","alien, ancient astronaut, ancient evil, archeologist, arms dealer, cab driver, clone, cruise liner, cyborg, egypt, end of the world, future, good vs evil, love, military, new york city, opera singer, police chase, priest, race against time, resort hotel, shootout, space opera, space travel, stowaway, taxi","Action, Adventure, Fantasy, Science Fiction, Thriller, alien, ancient astronaut, ancient evil, archeologist, arms dealer, cab driver, clone, cruise liner, cyborg, egypt, end of the world, future, good vs evil, love, military, new york city, opera singer, police chase, priest, race against time, resort hotel, shootout, space opera, space travel, stowaway, taxi"
19,FALSE,"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working class prophet who predicts the coming of a savior to mediate their differences.",14.487867,1/10/1927,Metropolis,8,666,Maria,Brigitte Helm,68,"Drama, Science Fiction","chase scene, class society, delirium, depravity, destruction, downtrodden, dystopia, future, inventor, machine town, mad scientist, man vs machine, masterpiece, metropolis, prophet, robot, saviour, silent film, tower of babel, underground world, work, worker","Drama, Science Fiction, chase scene, class society, delirium, depravity, destruction, downtrodden, dystopia, future, inventor, machine town, mad scientist, man vs machine, masterpiece, metropolis, prophet, robot, saviour, silent film, tower of babel, underground world, work, worker"
